"Option Name","score","Size","10","Rent","10","Duration","10","Pet Policy","9","Laundry","8","Description","7","Monthly Fees","5","One Time Fees","5","Contact","0","Distance","0","Address","0","modifier"
"[412 E 64th St Unit 21](https://www.apartments.com/412-e-64th-st-new-york-ny-unit-21/knngpr9/)","100","600 Sq Ft","5","$2,750","5","13 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","","5","","5","","5","","5","0.7 mi","5","[412 E 64th St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/412+E+64th+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[340 East 62nd Street](https://www.apartments.com/340-east-62nd-street-new-york-ny/pqqqnkr/)","100","600 Sq Ft","5","$2,125","5","9 mins","5","Dogs, Cats, Birds, Fish and Reptiles Allowed
* 1 Pet Limit","5","
* Laundry In Building","5","","5","* Water, Heat: Included","5","* Application Fee: $100
* Heating
* $15 Monthly Cooking Gas Fee
* Great Location
* Heat/Hot Water Included
* High Ceilings
* Laundry In Building
* Near All
* Near Buses
* Near Subway
* Quiet Tree-Lined Block
* Breakfast Bar
* Charming
* Dishwasher
* Exposed Brick
* Granite Bathroom
* Granite Countertops
* Granite Kitchen
* Great Sunlight
* Hardwood Floors
* Kitchen
* Marble Bathroom
* Microwave
* Renovated
* Separate Kitchen
* Stainless Steel Appliances","5","","5","0.4 mi","5","[340 E 62nd St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/340+E+62nd+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[322 E 61st St Unit 2RW](https://www.apartments.com/322-e-61st-st-new-york-ny-unit-2rw/24kfd3c/)","100","600 Sq Ft","5","$2,250","5","8 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Renovated 1 bedroom on the Upper East Side. High ceilings, hardwood floors, exposed brick, modern appliances, dishwasher, large closets, and marble tile bathroom. Near the 4 5 6 subway station and many bus stops. Located close to some of the best restaurants, bars, cafes, music venues, coffee shops, art galleries, boutiques and thrift shops in NYC.","5","","5","","5","","5","0.4 mi","5","[322 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/322+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[226 E 70th St Unit 09](https://www.apartments.com/226-e-70th-st-new-york-ny-unit-09/kjp0q68/)","100","620 Sq Ft","5","$2,285","5","15 mins","5","Dogs and Cats Allowed","5","","5","Graceful affordable 1 Bedroom in Lenox Hill 
Very Spacious this unit sports high ceilings, charming wood flooring, lovely kitchen and has a great light source 
Easy access 6,Q,F lines
Schedule a viewing today","5","","5","","5","","5","0.7 mi","5","[226 E 70th St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/226+E+70th+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)","5","0"
"[311 E 61st St Unit 14](https://www.apartments.com/311-e-61st-st-new-york-ny-unit-14/9139fk6/)","100","600 Sq Ft","5","$2,295","5","7 mins","5","Dogs and Cats Allowed","5","","5","Amazing one bedroom fully renovated in Lenox Hill . Lots of lights , Beautiful hardwood floors. Stainless steel appliances , Marble bathroom . Fast access to N, R W, 4, 5, 6 trains at 3rd Ave and 59. Great neighborhood with a tons of bars and restaurants. Bed bath and beyond, Dangerfield's, The Home Depot, Serendipity, Sports Club La, Food Emporium, Movie Theaters, and Diners are ALL WITHIN 2 BLOCKS OF THIS APARTMENT!!! Now offering one month free rent. Contact Yazmin (347)863-9424","5","","5","","5","844-312-4376","5","0.4 mi","5","[311 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/311+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[311 E 61st St Unit #13](https://www.apartments.com/311-e-61st-st-new-york-ny-unit-13/cbmshyf/)","100","600 Sq Ft","5","$2,295","5","7 mins","5","Dogs and Cats Allowed","5","","5","IMMEDIATE MOVE-IN - Amazing Value. No Fee.
This beautiful one bedroom apartment is fully renovate and is now available to view. Located on the east side, the apartment is filled with sun.
-Spacious one bedroom!
-Stainless steal kitchen
-Marble bathroom
-Beautiful hardwood floors 
-Pets allowed 
This apartment is Located on E 61st and 2nd Avenue. It has fast access to N, R W, 4, 5, 6 trains at 3rd Ave and 59. Great neighborhood with a tons of bars and restaurants. Bed bath and beyond, Dangerfield's, The Home Depot, Serendipity, Sports Club La, Food Emporium, Movie Theaters, and Diners are ALL WITHIN 2 BLOCKS OF THIS APARTMENT.
Call or text Senad at: 646-331-6174 for more info.","5","","5","","5","844-251-0332","5","0.4 mi","5","[311 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/311+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[309 E 69th St](https://www.apartments.com/309-e-69th-st-new-york-ny/enllzgp/)","100","650 Sq Ft","5","$2,300","5","15 mins","5","Dogs and Cats Allowed","5","","5","Amazing building Huge 1br Newly renovated apartment bright * good closets","5","","5","","5","844-899-5883","5","0.7 mi","5","[309 E 69th St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/309+E+69th+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)","5","0"
"[309 E 37th St](https://www.apartments.com/309-e-37th-st-new-york-ny/8q7mrc2/)","100","600 Sq Ft","5","$2,300","5","27 mins","5","Dogs and Cats Allowed","5","","5","~Big, bright & renovated 1BR~in Murray Hill, nice kitchen, granite counter tops, marble bath, beautiful floors throughout, lots of light, walk-in closets. 
*Near park, easy access to public transportation. 
*Email or text me today to schedule a private viewing. Olga: 631-605-1477 okrey@bondnewyork.com
*If this apartment doesn't fit your need I certainly have the one that will.","5","","5","","5","","5","1.4 mi","5","[309 E 37th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/309+E+37th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)","5","0"
"[711 2nd Ave Unit 2](https://www.apartments.com/711-2nd-ave-new-york-ny-unit-2/6539m6s/)","100","600 Sq Ft","5","$2,400","5","25 mins","5","Dogs and Cats Allowed","5","","5","One bedroom apartment in Murray Hill. Newly renovated kitchen featuring white cabinets, granite counter tops and stainless still appliances. Brand new wood floors throughout, with three closets for ample storage space. Ceramic tiled bathroom. Bathroom includes subway tiles additional linen closet. Contact Yazmin (347)863-9424","5","","5","","5","844-781-9376","5","1.3 mi","5","[711 2nd Ave, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/711+2nd+Ave,+New+York,+NY+10016/data=!4m2!4m1!3e2)","5","0"
"[355 E 72nd St Unit 3B](https://www.apartments.com/355-e-72nd-st-new-york-ny-unit-3b/wzwtvwk/)","100","675 Sq Ft","5","$2,450","5","20 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","","5","","5","","5","","5","1.0 mi","5","[355 E 72nd St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/355+E+72nd+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)","5","0"
