Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[357 E 68th St](https://www.apartments.com/357-e-68th-st-new-york-ny/dkqq9fj/),,"[357 E 68th St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/357+E+68th+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",650 Sq Ft,"$1,925","* Dog Rent: $30
* Water, Trash Removal, Sewer: Included","* Admin Fee: $100
* Application Fee: $75","Dogs and Cats Allowed
* $30 Monthly Pet Rent",0.8 mi,16 mins,,,,,,,,,"* Built in 1910
* 21 Units/5 Stories",,,![Primary Photo - 357 E 68th St](https://images1.apartments.com/i2/sNv7WGxpcg4DO1TG1Uq9pzj5YO3J9KsH5on3rdBQ0CE/117/357-e-68th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 357 E 68th St](https://images1.apartments.com/i2/xEDvrPdkGWpEEM0ma4Kli1XGzfI9r0kWw7jKLzM-PJ8/117/357-e-68th-st-new-york-ny-building-photo.jpg) ![Building Photo - 357 E 68th St](https://images1.apartments.com/i2/6u_5Rx7zFYSRNF4yY1SQFBo5n4GvBOffP7whgz7DlZE/117/357-e-68th-st-new-york-ny-building-photo.jpg) ![Building Photo - 357 E 68th St](https://images1.apartments.com/i2/RE0Wlhwno2idjHCI2XfBflTGWYlmLTxoLX90mfGenzM/117/357-e-68th-st-new-york-ny-building-photo.jpg) ![Building Photo - 357 E 68th St](https://images1.apartments.com/i2/CSFOB7vbUtACMmsgDEHQs7U0yWa1bx6ogp7_VShby78/117/357-e-68th-st-new-york-ny-building-photo.jpg) ![Building Photo - 357 E 68th St](https://images1.apartments.com/i2/MBssbJR29SKyNmKy3jTwRP4uLiSg0VuxL8Yo_d10n2c/117/357-e-68th-st-new-york-ny-building-photo.jpg) ,
[424 E 66th St Unit 1RE](https://www.apartments.com/424-e-66th-st-new-york-ny/y323nct/),844-500-1856,"[424 E 66th St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/424+E+66th+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",700 Sq Ft,"$1,925",,,Dogs and Cats Allowed,0.8 mi,16 mins,,,,,* Smoke Free,,12 Months,,,,,![Primary Photo - 424 E 66th St](https://images1.apartments.com/i2/fwtX2h8e1iO-HFrjL8y1RtvZ7mnxgoyVjxfr3rR9Ggo/110/424-e-66th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 424 E 66th St](https://images1.apartments.com/i2/UeVZ_EAW5Sl2Wmqs6KD3NRohFQbI-xzjBmWCvM3zPSI/118/424-e-66th-st-new-york-ny-building-photo.jpg) ![Building Photo - 424 E 66th St](https://images1.apartments.com/i2/IHG6w8y3_r5mPqFgDISnbdZEQDJLmHBxz0By1RuR8z0/118/424-e-66th-st-new-york-ny-building-photo.jpg) ![Building Photo - 424 E 66th St](https://images1.apartments.com/i2/kZNVUu1ALG2QxdmNHRbXRkyk0aTXdLKqaYoGkQ4HE_s/118/424-e-66th-st-new-york-ny-building-photo.jpg) ,"True 2 Bed in Great UES Neighborhood-Close to Public Transportation-Restaurants-Subways-
Beautiful 2BR in UES Neighborhood conveniently close to restaurants, subways, shops and so much more! Apartment features high ceilings, hardwood floors, ample closet space and modern appliances in the kitchen and bathroom. Call or text to schedule a viewing."
[1073 1st Avenue](https://www.apartments.com/1073-1st-avenue-new-york-ny/2pg0nnc/),484-685-5059,"[1073 1st Avenue, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/1073+1st+Avenue,+New+York,+NY+10022/data=!4m2!4m1!3e2)",650 Sq Ft,"$1,969",,,Dogs and Cats Allowed,0.4 mi,8 mins,,,,,,,12 Months,,,,,![Primary Photo - 1073 1st Avenue](https://images1.apartments.com/i2/awSw5Ci8S_yM35yLkwoAjtKJ6xYXhwraC7Ac31BATFo/110/1073-1st-avenue-new-york-ny-primary-photo.jpg) ![Building Photo - 1073 1st Avenue](https://images1.apartments.com/i2/5-C07MW-TQadd1J7Hi3tVf_nsxMTcD9j75Dop3kLXN0/118/1073-1st-avenue-new-york-ny-building-photo.jpg) ![Building Photo - 1073 1st Avenue](https://images1.apartments.com/i2/iqP_TDaH6fLbZVV207GuQ1PUHQGZQ7UNLaFo21rF_dU/118/1073-1st-avenue-new-york-ny-building-photo.jpg) ,"ONE BEDROOM in Midtown East
*Call/Text GIANNA 610-316-9040 to see this apartment!
~Located on Low floor of walk up building
~XXL space, apartment will be finished shortly!
THIS UNIT WILL NOT LAST~SEE ASAP~
Call/Text GIANNA 610-316-9040 to see this apartment!
*If this is not what your looking for, I can help! I have access to thousands of listings all over the city with means to find you what your looking for."
[340 East 62nd Street](https://www.apartments.com/340-east-62nd-street-new-york-ny/pqqqnkr/),,"[340 E 62nd St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/340+E+62nd+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$1,995","* Water, Heat: Included",* Application Fee: $100,"Dogs, Cats, Birds, Fish and Reptiles Allowed
* 1 Pet Limit",0.4 mi,9 mins,,,"* Kitchen
* Refrigerator","* $15 Monthly Cooking Gas Fee
* Great Location
* Heat/Hot Water Included
* High Ceilings
* Laundry In Building
* Near All
* Near Buses
* Near Subway
* Quiet Tree-Lined Block
* Breakfast Bar
* Charming
* Dishwasher
* Exposed Brick
* Granite Bathroom
* Granite Countertops
* Granite Kitchen
* Great Sunlight
* Hardwood Floors
* Kitchen
* Laundry In Building
* Marble Bathroom
* Microwave
* Renovated
* Separate Kitchen
* Stainless Steel Appliances",* Heating,,,,"* Built in 1910
* 27 Units/6 Stories",,,![Primary Photo - 340 East 62nd Street](https://images1.apartments.com/i2/Jj6JPLcEqTTlzCnH3h9rkCoDRDSk5hCnu4a-WkHRsUE/117/340-east-62nd-street-new-york-ny-primary-photo.jpg) ![Primary Photo - 340 East 62nd Street](https://images1.apartments.com/i2/AKzwa4-aD8ARnFi_kcVpQ1yEV4y7dWF47TZQDXxouvQ/117/340-east-62nd-street-new-york-ny-primary-photo.jpg) ,
[410 W 56th St Unit 4A](https://www.apartments.com/410-w-56th-st-new-york-ny/dzy0xxj/),844-880-7144,"[410 W 56th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/410+W+56th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,000",,,Dogs and Cats Allowed,1.2 mi,25 mins,,,,,,,12 Months,,,,,![Primary Photo - 410 W 56th St](https://images1.apartments.com/i2/N98cJzft8ArCa0xZf51bVig1cfIPQEFFWhGLxb-HcG8/110/410-w-56th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 410 W 56th St](https://images1.apartments.com/i2/odatYCZ2GjIQBtuxhKx9qNkTuxGmQdazguTEJmD16U4/118/410-w-56th-st-new-york-ny-building-photo.jpg) ![Building Photo - 410 W 56th St](https://images1.apartments.com/i2/p1vcLA-svLnOkp0VpQqVtuMeno56mTk4mWFGCfWck-I/118/410-w-56th-st-new-york-ny-building-photo.jpg) ![Building Photo - 410 W 56th St](https://images1.apartments.com/i2/GaRbMHyhL15PU4KihWrMvJ33q2W_3Oyq_7YXtdB3d40/118/410-w-56th-st-new-york-ny-building-photo.jpg) ![Building Photo - 410 W 56th St](https://images1.apartments.com/i2/RbRSi_1c_awinfUNH-2Fc9tQos6m70hoyHYkWgtbYxs/118/410-w-56th-st-new-york-ny-building-photo.jpg) ![Building Photo - 410 W 56th St](https://images1.apartments.com/i2/KBIRhvzuJLFoNG7Z5P2M8F3_2oDt9zI6zJrCWBsC5Kg/118/410-w-56th-st-new-york-ny-building-photo.jpg) ![Building Photo - 410 W 56th St](https://images1.apartments.com/i2/ykLfMvz2aB2LWxirvmssJPjcnUD635yLBe5YPP9q8oA/118/410-w-56th-st-new-york-ny-building-photo.jpg) ![Building Photo - 410 W 56th St](https://images1.apartments.com/i2/k-qd54xFq0GLs4Rtbb_UCNWZCgYLInz4sMtdOuVjfMI/118/410-w-56th-st-new-york-ny-building-photo.jpg) ,"Beautiful one bedroom apartment in the heart of HK Manhattan. Ideally situated walk up building on West 56th right off 9th ave just steps to Columbus Circle, Whole Foods, Central Park, and 1,A,B,C,D subway Lines. One bedroom layout: Large bedroom easily accommodates queen, desk, dresser, nightstand with room to spare for a couch and TV
There is a large eat in kitchen with room for a table and additional storage. 9' Ceilings, exposed brick, and decorative fireplace
Bathroom is currently being updated with new vanity, grouting the tiles, and glazing the bath tub. * Students will require a US guarantor *
* Working professionals will require a US guarantor unless a year at the job, with strong financials, credit, and a years worth of rent in the bank * Call or email me today to schedule a viewing.
Elias."
[47 E 52nd St](https://www.apartments.com/47-e-52nd-st-new-york-ny/pr1trwv/),844-750-3881,"[47 E 52nd St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/47+E+52nd+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)",850 Sq Ft,"$2,000",,,Dogs and Cats Allowed,0.5 mi,11 mins,,,,,* Wheelchair Accessible (Rooms),,12 Months,,,,,![Primary Photo - 47 E 52nd St](https://images1.apartments.com/i2/9iWyZEcpAqgx5lE5f8cnx91lsD2tTRDO1E2MEfb4nhk/110/47-e-52nd-st-new-york-ny-primary-photo.jpg) ![Building Photo - 47 E 52nd St](https://images1.apartments.com/i2/i8xvrVxt1adAZDN7eQb4tjDsXFzc96yrrIRA-NBpo_A/118/47-e-52nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 47 E 52nd St](https://images1.apartments.com/i2/_z61yNheMvM-GcYQdngudXctB8sk477mly85SV3VxmU/118/47-e-52nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 47 E 52nd St](https://images1.apartments.com/i2/APQMRKqS_901aJsovSKSTrmKobdw03JkArzmxcsK8EA/118/47-e-52nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 47 E 52nd St](https://images1.apartments.com/i2/JzAhAX_VL6NjbnIOXfn_2pfmnzWgs7grBBE7dVjYAa8/118/47-e-52nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 47 E 52nd St](https://images1.apartments.com/i2/clXzJVTyUSnxLHi3aw_-RYE2lg66Q1iT3ktTefZJ-iA/118/47-e-52nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 47 E 52nd St](https://images1.apartments.com/i2/0eEvWe7glEig8OO-cPItMJCkxstYYbw2AZ-PYD7adcs/118/47-e-52nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 47 E 52nd St](https://images1.apartments.com/i2/uNWOehIdF1tzqxEgshQxbUsi5v8slTb-Jw8xPRcypEI/118/47-e-52nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 47 E 52nd St](https://images1.apartments.com/i2/9pPYxg0wj2W2G71TEmfHBlsNjzYSOiunRVWgsTiNngg/118/47-e-52nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 47 E 52nd St](https://images1.apartments.com/i2/51lhMatw9y-h5RFib5vjuE1Dx-kJ4tWX060jszpZu2E/118/47-e-52nd-st-new-york-ny-building-photo.jpg) ,"FANTASTIC, PRISTINE & PET-FRIENDLY SUNNYSIDE CO-OP SUBLET call 917-582-3513
This fantastic 1 bedroom apartment is located just 2 blocks from the 7 train at ""40th Street"" station. Just 10 minutes to midtown! This is a 4th Floor apartment nestled in a beautiful prewar building and features lots of original details like base moldings, gorgeous hardwood floors, sunny rooms, beautiful foyer and a logical and inviting layout. The windowed EIK has great storage space and new appliances. Fully renovated windowed bathroom. Big bedroom worthy of a king-sized bed. His and hers very large custom made closets in the bedroom and a linen closet next to the Bath. Approximately 750 square feet. Live-in superintendent. Pets ok! Additional building amenities include closed-circuit camera system viewable by all residents, refurbished elevator, comfy lobby, and a laundry facility in the basement! The building is also pet-friendly. This apartment is an ideal offering for the discerning renter seeking a charming, safe apartment in a buoyant, blossoming neighborhood. Please note: since this is a co-op requiring board approval, it can take up to 2 weeks to get the application processed. So it's recommended that this apartment be for May 1st. Also, it can be rented for more than1 year.
To view please contact Irena @ 917-582-3513"
[116 E 36th St](https://www.apartments.com/116-e-36th-st-new-york-ny/rx37y33/),929-200-4581,"[116 E 36th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/116+E+36th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,050",,,Dogs and Cats Allowed,1.2 mi,24 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 116 E 36th St](https://images1.apartments.com/i2/LFuj6PBidYEu4v_nDmfaAeDV00s_OZO7K2bEYMx6ShY/110/116-e-36th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 116 E 36th St](https://images1.apartments.com/i2/mox6vNpZsCLx6gPuVAYrBXOjErdK86zJR2yphKhmbsU/118/116-e-36th-st-new-york-ny-building-photo.jpg) ![Building Photo - 116 E 36th St](https://images1.apartments.com/i2/2kpdQScxJUb8khO6mIrdEVuxRYZNVkc18OpFnEgqmAc/118/116-e-36th-st-new-york-ny-building-photo.jpg) ![Building Photo - 116 E 36th St](https://images1.apartments.com/i2/BQRCJh-hXR3-m91rqWuWW9uxV2EuU90WOHkecXDhd4U/118/116-e-36th-st-new-york-ny-building-photo.jpg) ![Building Photo - 116 E 36th St](https://images1.apartments.com/i2/40r-sedthrbzdQXYFSd1SQqtjxv39_XbRS4M6A95edQ/118/116-e-36th-st-new-york-ny-building-photo.jpg) ,"Very generously sized 1 bedroom apartment in Murray Hill. Well maintained townhouse with laundry.
Both bedroom and living area offer front facing sunlight. Oversized living room with high ceilings and great closet space. Newly updated bath with subway tile and new fixtures.
**Contact Kevin today to view this and NYC's best apartments**
**Kevin has tremendous market coverage in the city and will help you find a great apartment**"
[414 E 58th St](https://www.apartments.com/414-e-58th-st-new-york-ny/vhglqge/),484-318-2793,"[414 E 58th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/414+E+58th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)",695 Sq Ft,"$2,100",,,Dogs and Cats Allowed,0.5 mi,9 mins,,,,,,,12 Months,,,,,![Primary Photo - 414 E 58th St](https://images1.apartments.com/i2/-gxhHn8ZgZwY8lGK-F1cnvD8cqQa70gWdvGikGrRt3k/110/414-e-58th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 414 E 58th St](https://images1.apartments.com/i2/KVx0yDMrsOnvYcC4xked77zuXGbsZ8vxuQ1vjne01ZQ/118/414-e-58th-st-new-york-ny-building-photo.jpg) ![Building Photo - 414 E 58th St](https://images1.apartments.com/i2/5MWmj6zz2ME9i_Bhw1VThz_ImBZdr6jBDCeuRaTK6iY/118/414-e-58th-st-new-york-ny-building-photo.jpg) ,"SUNNY & BEAUTIFUL ONE BEDROOM~58TH~MIDTOWN EAST
*Call/Text GIANNA 610-316-9040 to see this apartment!
**CURRENTLY BEING GUT RENOVATED
**WILL HAVE ALL NEW KITCHEN, APPLIANCES & BATHROOMS
**RAILROAD STYLE ONE BEDROOM..3 CLOSETS AND SUN DRENCHED!
Call/Text GIANNA 610-316-9040 to see this apartment!
*If this is not what your looking for, I can help! I have access to thousands of listings all over the city with means to find you what your looking for."
[349 E 51st St](https://www.apartments.com/349-e-51st-st-new-york-ny/rh87qp2/),484-801-0826,"[349 E 51st St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/349+E+51st+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,100",,,Dogs and Cats Allowed,0.7 mi,15 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 349 E 51st St](https://images1.apartments.com/i2/3qmCOOb2-zcqMylg8JVXKaMkU7v_R8M-_UB6m1LadeU/110/349-e-51st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 349 E 51st St](https://images1.apartments.com/i2/F5FkItiaW-EZUd4m5C3NZBmb-Mwv0h8mUWvzOcqlbjY/118/349-e-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 349 E 51st St](https://images1.apartments.com/i2/olo2chm6p_kN2Dg8XrkVzOtQpNL8IGJ5FiQmPRSlJkM/118/349-e-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 349 E 51st St](https://images1.apartments.com/i2/V-SxfS2XowYNIXrlsB6zUidCH3StqrFtuNht687bo4I/118/349-e-51st-st-new-york-ny-building-photo.jpg) ,"ONE BEDROOM in Midtown East
*Call/Text GIANNA 610-316-9040 to see this apartment!
~Located on Low floor of walk up building
~XXL space, separate kitchen in w/ ss appliances
~Tons of sunlight
THIS UNIT WILL NOT LAST~SEE ASAP~
Call/Text GIANNA 610-316-9040 to see this apartment!
*If this is not what your looking for, I can help! I have access to thousands of listings all over the city with means to find you what your looking for."
[414 E 58th St](https://www.apartments.com/414-e-58th-st-new-york-ny/gcsqrfy/),484-801-0837,"[414 E 58th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/414+E+58th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,100",,,Dogs and Cats Allowed,0.5 mi,9 mins,,,,,,,12 Months,,,,,![Primary Photo - 414 E 58th St](https://images1.apartments.com/i2/S1q4kjnpeHd-4W_KbU8DVcQ-0dfYGyU-FO18RczirII/110/414-e-58th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 414 E 58th St](https://images1.apartments.com/i2/9-kp24HS5pC8aTAGH60M6-DPTjZTuJtqjaeuBhvjg1A/118/414-e-58th-st-new-york-ny-building-photo.jpg) ,"ONE BEDROOM in Midtown East
*Call/Text GIANNA 610-316-9040 to see this apartment!
~XXL space, apartment
~LOTS OF SUNLIGHT
THIS UNIT WILL NOT LAST~SEE ASAP~
Call/Text GIANNA 610-316-9040 to see this apartment!
*If this is not what your looking for, I can help! I have access to thousands of listings all over the city with means to find you what your looking for."
