Option Name,URL,Contact,Address,Distance,Duration,Map,Pet Policy,Parking,Gym,Kitchen,Amenities,Features,Living Space,Rent,Monthly Fees,One Time Fees,Lease Info,Services,Property Info,Indoor Info,Outdoor Info
5008 Palisade Ave Unit 2B,https://www.apartments.com/5008-palisade-ave-west-new-york-nj/y5fqexr/,973-679-9330,"5008 Palisade Ave, West New York, NJ 07093","* morning: 6.6 mi
* evening: 6.0 mi","* morning: 43 mins
* evening: 48 mins","https://www.google.com/maps/place/5008+Palisade+Ave,+West+New+York,+NJ+07093",Dogs and Cats Allowed,,,,,,,"$1,395",,,12 Months,,,,
928 21st St Unit 31,https://www.apartments.com/928-21st-st-union-city-nj/sm5jm35/,862-233-2894,"928 21st St, Union City, NJ 07087","* morning: 6.5 mi
* evening: 5.2 mi","* morning: 44 mins
* evening: 46 mins","https://www.google.com/maps/place/928+21st+St,+Union+City,+NJ+07087",Dogs and Cats Allowed,,,,,,,"$1,395",,,12 Months,,,,
317 28th St,https://www.apartments.com/317-28th-st-union-city-nj/k94n72c/,201-575-4389,"317 28th St, Union City, NJ 07087","* morning: 5.7 mi
* evening: 5.2 mi","* morning: 35 mins
* evening: 40 mins","https://www.google.com/maps/place/317+28th+St,+Union+City,+NJ+07087",Dogs and Cats Allowed,Street,,,,* Smoke Free,,"$1,400",,,1 Month,,,,
Hudson Ridge Apartments,https://www.apartments.com/hudson-ridge-apartments-north-bergen-nj/lkv238d/,888-323-6973,"7112-7432 Boulevard E, North Bergen, NJ 07047","* morning: 7.6 mi
* evening: 7.4 mi","* morning: 41 mins
* evening: 45 mins","https://www.google.com/maps/place/7112-7432+Boulevard+E,+North+Bergen,+NJ+07047","Dogs and Cats Allowed:
$250 Non-Refundable; one-time fee. Please call the leasing office for details. 
* $250 Fee
* 1 Pet Limit","Surface Lot
Call Office for Availability",,"* Dishwasher
* Microwave
* Oven
* Range
* Refrigerator","* 15 minutes to Lincoln Tunnel
* Controlled Access
* convenient to NYC
* Generous Closet Space
* Heat and Hot Water Included
* minutes to bus and schools
* Professionally Landscaped Grounds
* Shopping and Dining
* Spacious Floor Plans
* Walk to Bus Schools
* Wall to Wall carpeting","* High Speed Internet Access
* Heating
* Cable Ready
* Alarm
* Tub/Shower","* Carpet
* Walk-In Closets","$1,450","* Water, Heat, Trash Removal, Sewer: Included","* Application Fee: $75
* Cat Fee: $250
* Dog Fee: $250",,"* Laundry Facilities
* Controlled Access
* Maintenance on site
* Property Manager on Site","* Built in 1949
* 215 Units/5 Stories",* Elevator,
2102 John F. Kennedy Blvd Unit 42,https://www.apartments.com/2102-john-f-kennedy-blvd-union-city-nj/3lm0bce/,973-755-6546,"2102 John F. Kennedy Blvd, Union City, NJ 07087","* morning: 6.4 mi
* evening: 5.1 mi","* morning: 43 mins
* evening: 45 mins","https://www.google.com/maps/place/2102+John+F.+Kennedy+Blvd,+Union+City,+NJ+07087",Dogs and Cats Allowed,,,,,,,"$1,450",,,12 Months,,,,
78 Congress St Unit 302,https://www.apartments.com/78-congress-st-jersey-city-nj/41jwclk/,973-440-2918,"78 Congress St, Jersey City, NJ 07307","* morning: 10.0 mi
* evening: 6.1 mi","* morning: 1 hour 23 mins
* evening: 41 mins","https://www.google.com/maps/place/78+Congress+St,+Jersey+City,+NJ+07307",Dogs and Cats Allowed,,,,,,,"$1,495",,,12 Months,,,,
8610 John F. Kennedy Blvd Unit 14,https://www.apartments.com/8610-john-f-kennedy-blvd-north-bergen-nj/4523twh/,973-947-8643,"8610 John F. Kennedy Blvd, North Bergen, NJ 07047","* morning: 8.8 mi
* evening: 8.6 mi","* morning: 1 hour 5 mins
* evening: 57 mins","https://www.google.com/maps/place/8610+John+F.+Kennedy+Blvd,+North+Bergen,+NJ+07047",Dogs and Cats Allowed,,,,,,,"$1,495",,,12 Months,,,,
41-15 45th St Unit 4,https://www.apartments.com/41-15-45th-st-queens-ny/wk9crrh/,844-469-5533,"41-15 45th St, Queens, NY 11104","* morning: 3.2 mi
* evening: 3.5 mi","* morning: 21 mins
* evening: 28 mins","https://www.google.com/maps/place/41-15+45th+St,+Queens,+NY+11104",Dogs and Cats Allowed,,,,,,,"$1,525",,,12 Months,* Laundry Facilities,,,
437 Central Ave Unit 2,https://www.apartments.com/437-central-ave-jersey-city-nj/6n3fpfs/,,"437 Central Ave, Jersey City, NJ 07307","* morning: 9.8 mi
* evening: 6.3 mi","* morning: 1 hour 21 mins
* evening: 43 mins","https://www.google.com/maps/place/437+Central+Ave,+Jersey+City,+NJ+07307",Dogs and Cats Allowed,Street,,,,* Washer/Dryer,,"$1,550",,,12 Months,,,,
6515 Kennedy Blvd E Unit 1H,https://www.apartments.com/6515-kennedy-blvd-e-west-new-york-nj/md9714k/,866-365-0563,"6515 Kennedy Blvd E, West New York, NJ 07093","* morning: 7.1 mi
* evening: 7.0 mi","* morning: 38 mins
* evening: 42 mins","https://www.google.com/maps/place/6515+Kennedy+Blvd+E,+West+New+York,+NJ+07093",Dogs and Cats Allowed,Street,,,,,,"$1,600",,,12 Months,* Laundry Facilities,,,
